,Open,High,Close
249,761.09,780.43,772.88
250,772.71,778.55,768.79
251,747.04,748.65,745.91
252,738.28,744.46,741.77
253,739.04,741.69,738.42
254,740.67,742.61,739.77
255,741.86,743.24,742.74
256,740.36,741.69,738.63
257,737.33,742.13,741.19
258,729.89,736.99,736.96
259,722.71,736.13,733.78
260,725.73,725.74,719.85
261,721.58,722.21,720.95
262,723.62,724.0,716.98
263,719.12,722.94,720.64
264,708.05,716.51,715.09
265,699.5,705.71,705.63
266,698.08,698.2,695.36
267,689.98,701.68,697.77
268,696.06,696.94,694.49
269,692.2,700.65,699.21
270,685.47,692.32,692.1
271,683.0,687.43,684.11
272,678.97,680.33,680.04
273,671.0,672.3,668.26
274,675.17,689.4,675.22
275,697.45,701.95,701.87
276,699.06,700.86,697.46
277,698.4,702.77,695.94
278,698.77,702.48,693.71
279,708.65,708.82,691.72
280,714.91,716.65,710.36
281,719.0,722.98,718.92
282,716.48,722.47,718.27
283,716.51,725.44,718.36
284,719.47,725.89,719.41
285,722.87,729.54,728.58
286,723.96,728.57,728.28
287,719.84,721.98,716.65
288,724.91,724.91,716.55
289,729.27,729.49,722.34
290,732.5,733.02,730.4
291,734.53,737.21,734.15
292,731.74,739.73,735.72
293,724.01,733.94,732.66
294,722.87,728.33,724.12
295,720.76,727.51,725.27
296,706.86,720.97,720.09
297,706.53,711.48,704.24
298,701.62,714.58,709.74
